Modelo,Accuracy,Precision,Recall,Dice (F1),Jaccard
RF_n100_d10,0.9182226666666666,0.2414106094604722,0.8279053641550532,0.3738186718757976,0.2298751470151221
RF_n200_d10,0.9182013333333332,0.2413619594426829,0.8279204383578164,0.3737618793234272,0.2298321965100221
RF_n200_d15,0.9169357777777778,0.237668532235462,0.8232172870957287,0.3688480716204602,0.226127355277623
RF_n300_d15,0.917018,0.2378269240821731,0.8229987111556638,0.3690168214192175,0.226254216637796
HGB_d8_lr0.1_it200,0.9156515555555556,0.2339507968835871,0.8181674291700898,0.3638582001501662,0.2223879373924444
HGB_d10_lr0.1_it200,0.9159437777777778,0.2345032476799197,0.8174287932346977,0.3644526439064388,0.2228322173299336
HGB_d10_lr0.05_it300,0.9154071111111112,0.2340219697245955,0.8222826865244165,0.3643498356889043,0.2227553566397014
HGB_d12_lr0.05_it300,0.915574,0.23403271126563596,0.8198632769809386,0.3641247859728757,0.222587140419158
