Modelo,Accuracy,Precision,Recall,Dice (F1),Jaccard
RF_n100_d10,0.9382793333333334,0.2917083060523565,0.7656262954392999,0.4224576579573928,0.267794813932153
RF_n200_d10,0.9387057777777778,0.2933378761935836,0.765709203554497,0.4241766317055248,0.2691777773067385
RF_n200_d15,0.9343273333333332,0.2863410461351148,0.8224786511603368,0.424792954114155,0.2696743613632488
RF_n300_d15,0.9343515555555556,0.2863444567269442,0.8219510540636282,0.4247263040235547,0.269620641231037
HGB_d8_lr0.1_it200,0.9326973333333334,0.2808673370845834,0.8220339621788253,0.4186820526994656,0.2647677865252824
HGB_d10_lr0.1_it200,0.9330804444444444,0.2820860422579301,0.8218078491373787,0.4200050846674165,0.2658268584231532
HGB_d10_lr0.05_it300,0.9327133333333332,0.2808595933909933,0.8216344958056031,0.4186216192345059,0.2647194525524402
HGB_d12_lr0.05_it300,0.9327535555555555,0.281117007573806,0.8224786511603368,0.41901711986207346,0.26503583633082606
