Modelo,Accuracy,Precision,Recall,Dice (F1),Jaccard
RF_n100_d10,0.8650615555555555,0.1680335781741867,0.9052209501270002,0.283450963917836,0.165128381397587
RF_n200_d10,0.8667568888888889,0.1698380575390007,0.9051531162145662,0.2860106218295268,0.1668683747240119
RF_n200_d12,0.8743413333333333,0.1787769704077012,0.907723267785675,0.2987206262432844,0.1755858742845146
RF_n300_d12,0.8740117777777778,0.1783966562198221,0.9078212501036352,0.2981948180396885,0.1752226525107871
RF_n150_d8,0.8422995555555556,0.146680922515055,0.9026884840627992,0.2523557076394039,0.1443976378617295
HGB_d8_lr0.1_it200,0.8760628888888888,0.1808989843782845,0.9080549002464632,0.3016954373066324,0.1776450725823694
HGB_d10_lr0.1_it200,0.8767611111111111,0.1817727881633096,0.9081830309699496,0.3029167949821825,0.1784926007673278
HGB_d10_lr0.05_it300,0.8763435555555555,0.1813337784976606,0.9087709248777104,0.302339518555667,0.1780918633968807
HGB_d12_lr0.05_it300,0.8764408888888889,0.1814945280489218,0.9090950202371172,0.3025808782210805,0.1782593788056136
HGB_d6_lr0.1_it300,0.8767255555555555,0.1816578669482576,0.9076252854677148,0.3027261974642303,0.1783602604435123
LogReg_solverlbfgs_C1.0,0.8490731111111111,0.1493623650367131,0.8772884524069733,0.2552647421002826,0.1463057165518429
