Modelo,Accuracy,Precision,Recall,Dice (F1),Jaccard
RF_n100_d10,0.9382793333333334,0.2917083060523565,0.7656262954392999,0.4224576579573928,0.267794813932153
HGB_d8_lr0.1_it200,0.9330153333333332,0.2816375437361545,0.8202401320500162,0.4193031969715942,0.2652647845989597
GNB_vs1e-09,0.69789,0.068001752194116,0.7277674351997708,0.1243814451913583,0.0663148937573014
KNN_n5,0.9273971111111112,0.2597482033985607,0.7905741010122327,0.3910232155006104,0.2430260145874459
LogReg_solverlbfgs_C1.0,0.9055686666666667,0.19013570822731127,0.6758368066808866,0.29677780223308187,0.17424491215660823
