Modelo,Accuracy,Precision,Recall,Dice (F1),Jaccard
RF_n100_d10,0.9413608888888888,0.2999240559606921,0.7411759385575495,0.4270415807187059,0.2714894274915588
RF_n200_d10,0.9411986666666666,0.2994237932345115,0.7422009843454405,0.4267038166880438,0.2712164570245043
RF_n200_d12,0.9393273333333332,0.2946129621391276,0.7586921621682733,0.4244174647780431,0.269371775384813
RF_n300_d12,0.9392297777777778,0.2944320010279203,0.7599282467948476,0.4244226673065104,0.2693759668279494
RF_n150_d8,0.9445593333333332,0.3092178332963113,0.7134544796762061,0.4314438663539964,0.2750579702564639
HGB_d8_lr0.1_it200,0.9345473333333332,0.2814887814887815,0.7857805045335665,0.4144940731184163,0.2614270095688981
HGB_d10_lr0.1_it200,0.934626,0.2820125901611022,0.7874085184319815,0.4152884472049689,0.2620593296442529
HGB_d10_lr0.05_it300,0.9344837777777778,0.2814154758695066,0.7867000309021157,0.4145423639284558,0.2614654308617234
HGB_d12_lr0.05_it300,0.9345915555555556,0.2813755162648794,0.7840921938240991,0.4141361464968153,0.2611423077598909
HGB_d6_lr0.1_it300,0.9346915555555556,0.2819675678599927,0.7856825222156063,0.4149992435884165,0.2618290508125486
GNB_vs1e-09,0.7144442222222223,0.0703413036474925,0.7109446249161497,0.128016568350894,0.0683855242447947
KNN_n3,0.9252588888888889,0.2398605150214592,0.7076659858151751,0.358282597206349,0.2182364617666063
KNN_n5,0.9305182222222222,0.2593477999278007,0.7310008516924561,0.3828620603897821,0.2367528774212447
KNN_n7,0.9322686666666666,0.2670710449958858,0.7436933304189874,0.3930074303023302,0.2445608260505326
KNN_n9,0.9331626666666668,0.2715006185174612,0.7526700181644144,0.3990553295557171,0.24926241170157
LogReg_solverlbfgs_C1.0,0.9101753333333333,0.19200422859839206,0.6379176496303052,0.2951672667986085,0.1731356167970412
