Modelo,Accuracy,Precision,Recall,Dice (F1),Jaccard
RF_n100_d10,0.9448046666666666,0.3180934892115739,0.7624682499604302,0.4489075954675252,0.289413831281595
RF_n200_d10,0.9445575555555557,0.3170619409155829,0.7629732357529941,0.4479664740933158,0.2886319571167883
RF_n200_d12,0.943034,0.3141988329397059,0.7881245430632288,0.4492834263199843,0.2897263329389631
RF_n300_d12,0.9430828888888888,0.3144858801889855,0.7886596772613188,0.449663838281396,0.2900427980618908
RF_n150_d8,0.9479164444444445,0.3263983011788644,0.7205845775831531,0.4492863956991066,0.2897288025674205
HGB_d8_lr0.1_it200,0.9393184444444443,0.3034315125650374,0.8166901572993058,0.4424689502816576,0.2840835502840678
HGB_d10_lr0.1_it200,0.9393677777777778,0.3035178612480165,0.8159892068708217,0.4424577672154663,0.2840743306359352
HGB_d10_lr0.05_it300,0.9394404444444444,0.3038227908477477,0.8161700973039788,0.4428083060037784,0.2843633880857656
HGB_d12_lr0.05_it300,0.9392711111111112,0.3033683980879872,0.8174966271471318,0.4425200833935121,0.2841257076095698
HGB_d6_lr0.1_it300,0.939416,0.3037125345376513,0.8160570407832556,0.4426745602773667,0.2842530847991599
XGB_n200_d6,0.9397086666666666,0.304096294286554,0.8109845715534719,0.4423309743499092,0.2839698081338576
XGB_n300_d6,0.9396637777777778,0.3045081020800126,0.8149792352856938,0.4433596913305629,0.2848183288466502
XGB_n300_d8,0.9390057777777778,0.3028784799357186,0.8210616761006052,0.4425180665629455,0.2841240447562661
XGB_n400_d8,0.939148,0.3031936400469579,0.8195165703173873,0.4426292906923728,0.2842157541855632
XGB_n500_d10,0.9400042222222222,0.3056571512687826,0.8138109845715534,0.4444023715398751,0.2856795121112301
GNB_vs1e-09,0.6801224444444445,0.0695024068585916,0.7950662134356369,0.1278302592729258,0.0682792037987334
KNN_n9,0.935238,0.2876988584694718,0.8107358472078808,0.4246912020467426,0.2695923507813381
LogReg_solverlbfgs_C1.0,0.9182046666666667,0.2141056221368298,0.6643653383781665,0.3238453187256485,0.19320729903008385
